,RA,dec,Earth Distance,Solar Distance,Elongation
138,70.56645833333333,24.14086111111111,1.17296,0.32567,14.9
139,72.60570833333334,24.46938888888889,1.15406,0.33015,15.8
140,74.60591666666666,24.755305555555555,1.13462,0.33496,16.7
141,76.56354166666667,24.999388888888888,1.11474,0.34006,17.6
142,78.475375,25.202805555555557,1.09451,0.34539,18.3
143,80.33854166666667,25.366833333333332,1.07404,0.3509,19.1
144,82.15041666666666,25.492944444444444,1.05339,0.35655,19.7
145,83.908625,25.582694444444446,1.03266,0.36229,20.4
146,85.611125,25.637777777777778,1.0119,0.36808,20.9
147,87.25591666666666,25.65988888888889,0.99118,0.37389,21.5
148,88.84125,25.650777777777776,0.97056,0.37968,21.9
149,90.36545833333334,25.612277777777777,0.95009,0.38542,22.3
150,91.82695833333332,25.54613888888889,0.92981,0.39109,22.7
151,93.22429166666666,25.45411111111111,0.90976,0.39666,23.0
152,94.55595833333332,25.338,0.88998,0.4021,23.2
153,95.82054166666666,25.199527777777778,0.87051,0.4074,23.4
154,97.01675,25.040444444444443,0.85137,0.41254,23.5
155,98.143125,24.862444444444446,0.83259,0.41751,23.6
156,99.19829166666666,24.66722222222222,0.8142,0.42228,23.6
157,100.180875,24.456444444444443,0.79623,0.42685,23.5
158,101.08954166666666,24.23172222222222,0.77869,0.43121,23.4
159,101.92283333333334,23.994694444444445,0.76162,0.43535,23.2
160,102.6795,23.746972222222222,0.74504,0.43925,23.0
161,103.35816666666666,23.490111111111112,0.72897,0.44292,22.7
162,103.957625,23.225666666666665,0.71343,0.44634,22.3
163,104.47675,22.955194444444444,0.69846,0.4495,21.8
164,104.91458333333334,22.680222222222223,0.68407,0.45241,21.3
165,105.27033333333333,22.402277777777776,0.6703,0.45506,20.7
166,105.54345833333333,22.12286111111111,0.65718,0.45745,20.0
167,105.73370833333333,21.8435,0.64472,0.45957,19.3
168,105.84125,21.565694444444446,0.63298,0.46141,18.5
169,105.86679166666669,21.290916666666668,0.62197,0.46299,17.6
170,105.81150000000001,21.020694444444445,0.61174,0.46428,16.6
171,105.67716666666666,20.7565,0.60232,0.4653,15.6
172,105.46641666666666,20.499777777777776,0.59374,0.46605,14.5
173,105.18254166666667,20.252027777777776,0.58604,0.46651,13.4
174,104.82979166666667,20.014694444444444,0.57927,0.4667,12.2
175,104.41329166666667,19.789194444444444,0.57345,0.46661,11.0
176,103.939125,19.576944444444443,0.56862,0.46623,9.8
177,103.41433333333333,19.379277777777776,0.56482,0.46558,8.5
178,102.84679166666666,19.1975,0.56208,0.46465,7.3
179,102.24533333333333,19.032833333333333,0.56043,0.46344,6.2
180,101.61933333333333,18.886444444444443,0.55989,0.46196,5.3
181,100.97891666666668,18.75936111111111,0.56049,0.46021,4.6
182,100.33449999999999,18.6525,0.56225,0.45818,-4.4
183,99.69675,18.56663888888889,0.56517,0.45588,-4.8
184,99.07625,18.50236111111111,0.56928,0.45332,-5.5
185,98.48345833333333,18.460083333333333,0.57456,0.45049,-6.5
186,97.92841666666668,18.44,0.58102,0.44741,-7.6
187,97.4205,18.442027777777778,0.58866,0.44408,-8.8
188,96.96854166666668,18.465944444444446,0.59746,0.44049,-9.9
189,96.58041666666668,18.51125,0.6074,0.43667,-11.1
190,96.26320833333334,18.577194444444444,0.61847,0.43261,-12.2
191,96.023125,18.662777777777777,0.63065,0.42832,-13.3
192,95.86537499999999,18.76688888888889,0.64391,0.42382,-14.3
193,95.79441666666666,18.88811111111111,0.65822,0.41911,-15.3
194,95.81391666666667,19.02488888888889,0.67356,0.41421,-16.1
195,95.92666666666668,19.175416666666667,0.68989,0.40912,-16.9
196,96.13491666666668,19.337833333333332,0.70717,0.40387,-17.6
197,96.44033333333333,19.51002777777778,0.72537,0.39848,-18.2
198,96.84400000000001,19.689777777777778,0.74446,0.39295,-18.8
199,97.34658333333334,19.87475,0.76438,0.38731,-19.2
200,97.94841666666667,20.062472222222222,0.7851,0.38159,-19.6
201,98.64945833333333,20.250333333333334,0.80656,0.37581,-19.8
202,99.44933333333334,20.43563888888889,0.82871,0.37001,-20.0
203,100.34741666666666,20.615555555555556,0.85149,0.36421,-20.1
204,101.34283333333333,20.78713888888889,0.87485,0.35845,-20.1
205,102.434375,20.947388888888888,0.8987,0.35276,-20.1
206,103.62066666666665,21.093222222222224,0.92298,0.3472,-19.9
207,104.89975,21.221416666666666,0.94758,0.34181,-19.7
208,106.26950000000001,21.328833333333332,0.97243,0.33663,-19.3
209,107.72720833333334,21.412222222222223,0.99741,0.33171,-18.9
210,109.26970833333333,21.468444444444444,1.02242,0.32712,-18.5
211,110.89316666666667,21.494333333333334,1.04733,0.32289,-17.9
212,112.59320833333334,21.487,1.07202,0.31908,-17.3
213,114.36479166666668,21.443666666666665,1.09635,0.31574,-16.6
214,116.20216666666666,21.36188888888889,1.12019,0.31291,-15.9
215,118.09891666666665,21.2395,1.1434,0.31065,-15.1
216,120.04820833333332,21.074833333333334,1.16585,0.30898,-14.2
217,122.0425,20.86663888888889,1.1874,0.30792,-13.3
218,124.07408333333335,20.61427777777778,1.20795,0.30751,-12.4
219,126.13495833333333,20.31758333333333,1.22739,0.30773,-11.4
220,128.21725,19.976944444444445,1.24564,0.30859,-10.4
221,130.31312499999999,19.593305555555556,1.26261,0.31008,-9.4
222,132.41520833333334,19.16811111111111,1.27827,0.31217,-8.4
223,134.51654166666665,18.70313888888889,1.29258,0.31483,-7.3
224,136.61083333333332,18.200583333333334,1.30554,0.31802,-6.3
225,138.69254166666664,17.662916666666668,1.31713,0.32169,-5.2
226,140.75679166666666,17.09272222222222,1.3274,0.3258,-4.2
227,142.79958333333335,16.492694444444446,1.33635,0.33029,-3.3
228,144.81750000000002,15.865638888888888,1.34405,0.33512,-2.5
229,146.80804166666664,15.214277777777777,1.35053,0.34022,-1.9
230,148.76920833333335,14.541222222222222,1.35586,0.34556,1.8
231,150.69950000000003,13.849083333333333,1.36008,0.35107,2.3
232,152.598125,13.140222222222222,1.36327,0.35672,3.0
233,154.46458333333334,12.416972222222222,1.36547,0.36246,3.8
234,156.29879166666666,11.681444444444445,1.36675,0.36826,4.7
235,158.10091666666668,10.935611111111111,1.36716,0.37406,5.6
236,159.87141666666665,10.18125,1.36676,0.37985,6.5
237,161.610875,9.420083333333332,1.3656,0.38559,7.4
238,163.320125,8.653611111111111,1.36372,0.39126,8.2
239,164.99995833333332,7.88325,1.36116,0.39682,9.1
240,166.651375,7.110277777777778,1.35798,0.40226,9.9
241,168.27529166666667,6.3358888888888885,1.3542,0.40756,10.7
242,169.87275,5.561138888888889,1.34985,0.41269,11.5
243,171.44475,4.786972222222222,1.34498,0.41765,12.2
244,172.99229166666666,4.0143611111111115,1.3396,0.42242,13.0
245,174.516375,3.244083333333333,1.33374,0.42699,13.7
246,176.018,2.476916666666667,1.32742,0.43134,14.4
247,177.49800000000002,1.7135555555555555,1.32066,0.43547,15.1
248,178.9573333333333,0.9546666666666667,1.31348,0.43936,15.8
249,180.39675,0.20088888888888887,1.30589,0.44302,16.4
250,181.817125,0.5472222222222223,1.29791,0.44643,17.1
251,183.21908333333332,-0.7108888888888889,1.28954,0.44959,17.7
252,184.60329166666668,-1.97575,1.2808,0.45249,18.3
253,185.97029166666664,-1.2478888888888888,1.27169,0.45514,18.8
254,187.32066666666665,-2.52775,1.26222,0.45751,19.4
255,188.65479166666668,-3.815861111111111,1.2524,0.45962,19.9
256,189.97304166666666,-3.1126666666666667,1.24223,0.46146,20.4
257,191.275625,-4.418638888888889,1.23171,0.46302,20.9
258,192.56274999999997,-5.734277777777778,1.22085,0.46431,21.4
259,193.83450000000002,-5.0600555555555555,1.20965,0.46533,21.9
260,195.09079166666666,-6.396416666666667,1.19811,0.46606,22.3
261,196.331625,-7.743944444444445,1.18623,0.46652,22.7
262,197.55662500000003,-7.103083333333333,1.17401,0.4667,23.1
263,198.7655,-8.474416666666666,1.16145,0.4666,23.5
264,199.95770833333336,-9.858472222222222,1.14855,0.46621,23.8
265,201.13258333333332,-9.255888888888888,1.13532,0.46555,24.1
266,202.28937499999998,-10.66725,1.12175,0.46462,24.4
267,203.42704166666667,-10.093277777777777,1.10784,0.4634,24.7
268,204.5444166666667,-11.534694444444444,1.0936,0.46191,25.0
269,205.64008333333334,-12.99225,1.07903,0.46015,25.2
270,206.71241666666666,-12.466777777777779,1.06413,0.45811,25.4
271,207.759625,-13.959222222222222,1.04891,0.45581,25.5
272,208.77945833333334,-13.470527777777777,1.03337,0.45324,25.7
273,209.76958333333332,-13.001833333333334,1.01752,0.4504,25.8
274,210.727125,-14.55425,1.00137,0.44731,25.8
275,211.649,-14.129138888888889,0.98494,0.44397,25.8
276,212.531625,-15.727944444444445,0.96823,0.44038,25.8
277,213.37095833333333,-15.352222222222222,0.95127,0.43655,25.7
278,214.1626666666667,-15.003777777777778,0.93409,0.43248,25.6
279,214.90166666666667,-16.684583333333332,0.91671,0.42819,25.3
280,215.58258333333333,-16.396833333333333,0.89917,0.42368,25.1
281,216.19929166666665,-16.142972222222223,0.88151,0.41896,24.7
282,216.74533333333332,-17.925694444444446,0.86378,0.41405,24.3
283,217.21354166666666,-17.748055555555556,0.84605,0.40897,23.8
284,217.5965,-17.613333333333333,0.82839,0.40371,23.2
285,217.88629166666666,-17.525194444444445,0.81089,0.39831,22.5
286,218.07483333333334,-17.48752777777778,0.79365,0.39278,21.7
287,218.15416666666667,-17.504527777777778,0.77679,0.38714,20.8
288,218.11666666666667,-17.580583333333333,0.76045,0.38142,19.8
289,217.95562499999997,-17.72,0.74478,0.37564,18.6
290,217.665625,-17.927027777777777,0.72996,0.36983,17.3
291,217.2435,-16.20525,0.71619,0.36403,15.8
292,216.68883333333335,-16.557444444444446,0.7037,0.35827,14.2
293,216.00508333333335,-16.984805555555557,0.6927,0.35259,12.5
294,215.20024999999998,-15.486555555555556,0.68345,0.34704,10.6
295,214.28754166666667,-14.059138888888889,0.6762,0.34165,8.6
296,213.28575,-14.695777777777778,0.67119,0.33648,6.4
297,212.219125,-13.386027777777779,0.66864,0.33157,4.3
298,211.11666666666665,-12.115833333333333,0.66875,0.32698,2.1
299,210.01087499999997,-12.867861111111111,0.67165,0.32276,-1.0
300,208.93604166666668,-11.622388888888889,0.67743,0.31897,-2.8
301,207.92595833333334,-10.358583333333334,0.68611,0.31564,-5.0
302,207.01208333333332,-9.055888888888889,0.69765,0.31284,-7.0
303,206.22150000000002,-9.695611111111111,0.71191,0.31059,-9.0
304,205.57583333333332,-8.261944444444444,0.72872,0.30894,-10.8
305,205.09020833333332,-8.742805555555556,0.74783,0.3079,-12.4
306,204.77366666666668,-7.130277777777778,0.76897,0.3075,-13.9
307,204.62908333333334,-7.420305555555555,0.79184,0.30775,-15.2
308,204.65441666666666,-7.612472222222222,0.81611,0.30863,-16.2
309,204.84358333333333,-7.709388888888889,0.84148,0.31014,-17.1
310,205.18729166666665,-7.715805555555556,0.86763,0.31224,-17.8
311,205.6745,-7.638222222222222,0.89428,0.31492,-18.3
312,206.29295833333333,-7.484083333333333,0.92118,0.31812,-18.7
313,207.03,-7.261333333333333,0.94809,0.32181,-18.9
314,207.87316666666666,-8.978027777777777,0.97481,0.32593,-19.1
315,208.8105416666667,-8.642083333333334,1.00118,0.33043,-19.1
316,209.83100000000002,-8.261,1.02704,0.33527,-19.0
317,210.92437499999997,-9.841777777777779,1.0523,0.34038,-18.9
318,212.08158333333333,-9.390833333333333,1.07686,0.34572,-18.6
319,213.29445833333332,-10.914,1.10065,0.35124,-18.4
320,214.55587500000001,-10.416555555555556,1.12363,0.3569,-18.0
321,215.85966666666664,-11.903138888888888,1.14575,0.36264,-17.7
322,217.20041666666668,-11.377916666666666,1.16699,0.36843,-17.3
323,218.57358333333335,-12.844527777777778,1.18736,0.37424,-16.8
324,219.9751666666667,-12.306222222222223,1.20683,0.38003,-16.4
325,221.40183333333334,-13.765805555555556,1.22542,0.38577,-15.9
326,222.85083333333333,-13.225777777777777,1.24314,0.39143,-15.4
327,224.31975,-14.688361111111112,1.25999,0.39699,-14.9
328,225.80662500000003,-14.155416666666667,1.276,0.40242,-14.4
329,227.30979166666668,-15.628666666666666,1.29117,0.40772,-13.8
330,228.82787499999998,-15.109638888888888,1.30554,0.41285,-13.3
331,230.35970833333332,-16.599611111111113,1.31911,0.4178,-12.7
332,231.904375,-16.099805555555555,1.33191,0.42256,-12.2
333,233.46108333333333,-17.61125,1.34395,0.42712,-11.7
334,235.02920833333334,-17.134888888888888,1.35526,0.43147,-11.1
335,236.60816666666665,-18.671583333333334,1.36584,0.43559,-10.5
336,238.19758333333334,-18.22211111111111,1.37573,0.43948,-10.0
337,239.79704166666667,-19.787194444444445,1.38494,0.44313,-9.4
338,241.40625,-19.367472222222222,1.39347,0.44653,-8.9
339,243.025,-20.963583333333332,1.40135,0.44968,-8.3
340,244.65295833333332,-20.576055555555556,1.40859,0.45258,-7.8
341,246.2900833333333,-20.205444444444446,1.4152,0.45521,-7.3
342,247.93608333333336,-21.85227777777778,1.42119,0.45758,-6.7
343,249.590875,-21.517,1.42657,0.45968,-6.2
344,251.25424999999998,-21.200083333333332,1.43136,0.46151,-5.6
345,252.92608333333337,-22.901972222222224,1.43555,0.46307,-5.1
346,254.60624999999996,-22.623083333333334,1.43916,0.46435,-4.6
347,256.29445833333335,-22.36386111111111,1.44219,0.46535,-4.0
348,257.99066666666664,-22.12463888888889,1.44464,0.46608,-3.5
349,259.6945,-23.90588888888889,1.44652,0.46653,-3.0
350,261.4057916666667,-23.707916666666666,1.44784,0.4667,-2.6
351,263.12429166666664,-23.53113888888889,1.44859,0.46659,-2.1
352,264.849625,-23.375916666666665,1.44877,0.4662,-1.7
353,266.5815833333333,-23.24261111111111,1.44839,0.46553,-1.5
354,268.3197916666667,-23.131555555555554,1.44743,0.46458,-1.4
355,270.063875,-23.04313888888889,1.44591,0.46336,1.6
356,271.8135,-24.97763888888889,1.44381,0.46186,1.9
357,273.5681666666667,-24.935444444444446,1.44114,0.46009,2.3
358,275.3274166666667,-24.916805555555555,1.43788,0.45804,2.8
359,277.09083333333336,-24.922083333333333,1.43402,0.45573,3.3
360,278.8577916666667,-24.951527777777777,1.42956,0.45315,3.8
361,280.62775000000005,-23.005416666666665,1.4245,0.45031,4.4
362,282.40004166666665,-23.084055555555555,1.4188,0.44721,4.9
363,284.1739583333333,-23.187666666666665,1.41248,0.44386,5.5
364,285.94879166666664,-23.3165,1.4055,0.44026,6.1
365,287.72362499999997,-23.47072222222222,1.39786,0.43642,6.7
