,h1hom0,h1hom1,h2hom0,h2hom1,h3hom0,h3hom1,h4hom0,h4hom1,protein
0,5.769842790660992,6.737867284948123,5.6713377984672935,6.628907229860539,5.623345105656779,6.668156519844311,5.749030873402967,6.719392108804133,0.0
1,5.624289363950953,5.290010824385772,5.623880522458998,5.306423660810923,5.4482294727124785,5.189122339735981,5.6367198660412425,5.351090220300626,0.0
2,6.496263386177568,5.24473340461599,6.442048071217995,5.1979968861285535,6.402927935695553,5.13016101206842,6.53680471496431,5.23806377605923,0.0
3,4.840774287759847,5.131667917949688,4.762675426966499,5.003387444405414,4.808345498088651,5.117920317917821,4.92754184159003,5.281062703985544,0.0
4,4.216006632458695,3.9692209404691643,4.089996463884072,3.668681389055685,4.055582495229264,3.9451446293616885,4.191514415034785,4.011413309834927,0.0
5,5.090734792711332,5.948958276394139,5.004762630183156,5.830170809956059,4.9896400932316265,5.80169598139908,5.0489925566425065,5.857363540038646,0.0
6,5.667094633035445,5.072832617580215,5.514960490992952,4.931716019813857,5.5012508657949395,4.885357824970719,5.608186732411665,5.145856579217762,0.0
7,6.501624811062377,5.9039228468831935,6.391684029796306,5.78586246739389,6.379644850898611,5.824193437230259,6.448063411007385,5.848448407689222,0.0
8,5.7552126949301,6.505453171782986,5.594961365509365,6.40450559217007,5.716335166924796,6.410826313522291,5.732601424680731,6.524532260650944,0.0
9,6.912167774064536,6.820625473674127,6.8552629282974955,6.711485460437218,6.801107574364768,6.76109283746421,6.962836602072615,6.79649941188374,0.0
10,5.845587927917254,4.619140896753318,5.857368311100951,4.556376389572887,5.71267846385234,4.436119829858773,5.96507506790714,4.731958058393921,0.0
11,5.310565347934504,3.704548971575109,5.0408070941024405,3.55910246505758,5.345209839947697,3.740395133639068,5.2837871835547965,3.734563246887415,0.0
12,7.044215272208494,5.408257993795964,7.020726050033049,5.406039702989994,6.939936924890668,5.238974611484208,7.110003206995561,5.447281848871233,0.0
13,6.0547437279873035,7.09997905278914,6.002123443544549,7.043834105715378,5.969861454625702,6.981169520005312,6.059071766924004,7.131686186152608,0.0
14,5.646743393190554,6.102798762013244,5.490316440310537,5.9543239415741365,5.598533787599219,6.069847606516118,5.619270426408586,6.059944340628229,0.0
15,5.415970144892084,8.333693634883385,5.195272332660697,8.241446901661867,5.351139794116248,8.247165608478673,5.299037811371346,8.352986769827094,0.0
16,4.523481736542558,5.280761620626515,4.532377936719911,5.267864609594899,4.522472892088451,5.2513510708104505,4.587508220030881,5.300815702581151,0.0
17,7.1319527530007445,5.595310343977745,7.074311712696141,5.517027369522067,7.005719249960029,5.534748181517054,7.160913574599008,5.571825645196049,0.0
18,4.9064467845550785,4.589781505953809,4.770450403774972,4.3707875520522865,4.78826531253709,4.625198736914479,4.94185498030266,4.690340688869126,0.0
19,6.414422360596976,5.9168982982515415,6.235698498329536,5.810663725833278,6.300201766209076,5.814997614566329,6.342311132882869,5.866988483761115,0.0
20,5.272044227696779,4.031402379358521,5.221805218550053,3.98103638160935,5.193601318082613,3.9957375914674804,5.214294932111709,3.987874358627997,0.0
21,6.042210074157349,3.391215754877007,6.020250706676261,3.3801894026142136,5.8741557990577755,3.219702226196241,6.079678718928643,3.4226942633505404,0.0
22,7.3258500061256715,6.882108356051331,7.200591361728654,6.7848491222845615,7.25448479964324,6.7345385637841595,7.355110269459056,6.802675265203801,0.0
23,5.733979297312681,6.015782119592989,5.650798364807903,5.898756174659073,5.643338917194667,5.948504444390009,5.706629183927787,5.962430421738535,0.0
24,6.790706059708831,7.377152247915236,6.727474149110476,7.332532172860966,6.676656557309629,7.259233368954169,6.822974817912956,7.397623359582671,0.0
25,3.703373694915654,5.028310834157866,3.355246527926619,4.58196220033739,3.768557030580687,5.053023071793831,3.845841579373626,5.078973314524868,0.0
26,7.279225746354347,6.7621541736805675,7.1961215095768,6.709041856820425,7.184966207104617,6.657699869085305,7.2921385680017226,6.81570507681084,0.0
